,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
FAST,S&P; 500,20.93,2.49,0.10%,293.28M,-0.25%,15.25B,18.62,2.79,0.27%,286.22M,-12.94%,714.50M,1.10,0.60,88.80%,8.65%,-10.47%,4.82B,3.16,11.30%,-1.04%,7.05,8.15%,8.07,6.44,6.52%,24.00%,56.25,-4.69%,0.44,117.58,19.00%,33.40%,47.37 - 61.14,-0.55%,1.60,212.70,6.30%,22.40%,-14.95%,1.10,3.08%,2.50,7.00%,48.60%,9.77%,1.69,13749,5.30,13.00%,20.10%,46.47,2.69% 3.28%,Yes,0.17,39.60%,15.30%,0.64,49.95,Yes,0.17,Jan 17 BMO,57.00%,3.51M,52.00,2.60,-1.81%,-3.44%,-4.14%,"2,234,230",4.10%
FB,S&P; 500,18.62,7.41,1.27%,2.89B,2.55%,399.28B,18.52,7.45,-20.75%,2.37B,-2.23%,21.77B,1.04,2.19,72.60%,1.29%,-15.07%,51.90B,7.69,76.30%,-2.72%,1.14,-30.49%,27.85,4.95,0.87%,21.90%,186.97,-25.30%,14.24,9.69,17.90%,25.00%,123.02 - 218.62,5.23%,-,22.88,234.20%,24.00%,-36.90%,0.65,-,9.00,51.50%,84.30%,12.14%,5.96,33606,9.00,32.90%,47.10%,50.57,4.24% 4.48%,Yes,0.00,10.70%,37.60%,1.05,131.74,Yes,0.00,Jan 29 AMC,0.00%,26.85M,137.95,2.10,0.97%,-2.02%,-18.01%,"28,250,046",4.71%
FBHS,S&P; 500,14.52,2.75,0.10%,146.01M,5.22%,5.82B,10.35,3.85,-3.31%,101.33M,-11.20%,409.20M,1.37,0.94,90.00%,4.69%,-25.12%,5.45B,1.07,10.40%,0.92%,2.09,-26.50%,15.67,2.54,12.40%,7.50%,50.79,-42.66%,2.67,14.93,10.60%,18.50%,35.27 - 73.62,4.97%,0.88,19.36,34.90%,12.20%,-45.83%,1.26,2.21%,0.80,11.00%,36.10%,13.07%,1.53,23800,1.30,2.40%,11.20%,48.34,3.58% 3.96%,Yes,1.13,-19.30%,7.90%,0.77,37.66,Yes,0.89,Jan 24 AMC,26.50%,2.27M,39.88,2.50,0.72%,-5.69%,-23.55%,"1,753,630",5.89%
FCX,S&P; 500,5.72,1.89,0.48%,1.49B,1.41%,16.11B,12.93,0.84,-1.05%,1.44B,-10.50%,2.76B,1.08,0.21,71.70%,2.45%,-22.44%,19.99B,0.81,131.60%,-1.82%,1.71,-36.24%,6.88,1.57,-49.06%,8.50%,15.76,-44.43%,3.06,3.54,5.30%,34.90%,9.60 - 20.25,4.95%,0.20,2.96,-21.80%,11.30%,-46.57%,2.13,1.85%,1.80,-1.90%,33.00%,12.71%,0.60,25200,2.80,13.90%,29.70%,50.28,5.35% 5.61%,Yes,1.12,102.40%,15.70%,1.23,10.07,Yes,1.11,Jan 23 BMO,6.90%,20.70M,10.82,2.70,2.41%,-3.33%,-26.27%,"25,557,083",7.45%
FDX,S&P; 500,14.49,11.35,7.67%,270.10M,2.12%,44.41B,9.06,18.15,0.03%,241.01M,-28.52%,3.06B,1.49,3.26,74.50%,1.42%,-31.75%,68.72B,0.65,-2.30%,-1.64%,1.40,-28.06%,73.64,2.23,11.15%,9.50%,231.37,-36.96%,7.86,20.92,9.71%,25.90%,150.94 - 274.66,1.92%,2.60,-,4.80%,9.60%,-40.13%,1.64,1.58%,1.40,8.10%,70.90%,8.93%,7.05,166000,1.40,9.30%,6.90%,35.53,3.24% 4.05%,Yes,0.90,4.00%,7.20%,1.20,157.19,Yes,0.85,Dec 18 AMC,10.70%,2.43M,164.43,1.90,-7.00%,-19.54%,-29.53%,"2,913,214",4.61%
FE,S&P; 500,-,-4.65,5.03%,530.71M,0.38%,19.73B,14.64,2.54,0.00%,510.44M,-3.68%,-2010.00M,-,0.48,96.50%,5.71%,1.28%,11.99B,1.64,73.30%,5.27%,6.15,1.39%,13.52,2.75,0.44%,5.20%,40.72,22.35%,0.82,45.24,-6.92%,32.70%,29.33 - 39.88,-1.01%,1.52,-,-32.90%,-2.90%,-6.80%,0.25,4.09%,0.40,-1.70%,73.90%,26.71%,0.95,15617,0.40,5.30%,21.60%,46.95,2.13% 2.69%,Yes,2.86,-2.20%,17.40%,0.94,36.71,Yes,2.44,Jan 24 AMC,33.30%,4.74M,37.17,2.10,-2.03%,-1.92%,2.86%,"4,453,523",1.25%
FFIV,S&P; 500,20.83,7.67,0.10%,62.42M,-0.45%,9.97B,13.89,11.51,-51.11%,60.44M,-8.62%,474.70M,2.40,2.54,-,7.59%,-14.36%,2.16B,4.61,17.80%,0.89%,5.87,-9.50%,21.26,7.52,7.62%,17.80%,176.50,19.21%,16.65,9.60,8.69%,36.30%,133.14 - 199.71,-1.38%,-,13.10,16.90%,35.90%,-19.99%,0.91,-,1.50,7.80%,83.30%,20.02%,5.23,4409,1.50,4.60%,27.30%,44.68,2.71% 3.34%,Yes,0.00,3.50%,21.00%,1.03,154.31,Yes,0.00,Jan 23 AMC,0.00%,781.69K,159.79,2.80,-1.84%,-5.94%,-7.35%,"805,073",3.55%
FIS,S&P; 500,45.16,2.25,0.10%,334.39M,0.95%,34.03B,17.66,5.76,-26.40%,325.45M,-6.73%,754.00M,3.41,1.59,90.60%,1.07%,-5.77%,8.59B,3.96,-7.00%,-0.09%,2.27,-5.36%,30.73,3.31,10.36%,6.40%,121.31,7.99%,3.57,28.48,13.25%,14.70%,92.12 - 110.83,-0.75%,1.28,25.46,-2.50%,5.30%,-8.17%,0.89,1.26%,1.30,9.50%,33.70%,10.49%,2.89,53000,1.30,-0.60%,17.20%,49.20,2.44% 2.89%,Yes,0.90,165.00%,17.90%,1.60,98.31,Yes,0.89,Jan 29 BMO,26.20%,1.54M,101.78,1.80,-0.51%,-1.87%,-2.34%,"2,460,566",3.53%
FISV,S&P; 500,26.08,2.81,0.10%,409.56M,0.21%,29.99B,20.85,3.51,-42.28%,397.35M,-8.10%,1.18B,2.17,0.87,90.80%,1.66%,-10.36%,5.79B,5.18,6.90%,-1.94%,2.96,-2.41%,6.59,11.11,12.17%,14.00%,82.93,11.44%,1.64,44.56,12.00%,51.60%,62.76 - 82.79,-0.37%,-,26.80,15.60%,14.40%,-11.56%,0.81,-,1.00,5.10%,47.70%,16.67%,2.19,24000,1.00,0.90%,30.00%,48.18,2.45% 3.10%,Yes,1.98,10.40%,25.00%,0.80,70.11,Yes,1.81,Jan 30 AMC,0.00%,2.23M,73.22,2.40,-0.97%,-4.23%,-3.51%,"1,771,111",4.44%
FITB,S&P; 500,9.04,2.74,0.10%,666.46M,5.18%,16.50B,9.04,2.74,0.00%,654.50M,-11.19%,1.91B,1.51,0.67,84.20%,2.28%,-13.09%,4.94B,3.34,31.40%,-4.09%,2.23,-14.09%,21.72,1.14,9.34%,1.50%,31.16,-18.87%,5.70,4.34,6.00%,14.40%,22.12 - 34.67,5.23%,0.88,9.91,8.90%,9.20%,-28.58%,1.26,3.55%,-,1.80%,-,11.93%,0.81,18125,-,14.10%,77.10%,51.48,2.77% 3.60%,Yes,1.00,-54.90%,43.20%,0.92,24.18,Yes,1.00,Jan 22 BMO,21.30%,6.71M,24.76,2.70,3.09%,-4.23%,-15.27%,"6,154,931",2.40%
FL,S&P; 500,15.79,3.48,0.40%,112.50M,5.72%,6.17B,11.17,4.92,-3.03%,111.80M,-2.50%,409.00M,1.42,1.37,8.88%,10.09%,13.53%,7.88B,0.78,-39.10%,25.99%,3.82,5.28%,21.41,2.56,8.52%,8.70%,58.57,14.64%,6.65,8.25,11.14%,13.40%,38.17 - 59.40,3.16%,1.38,17.20,3.00%,14.20%,-7.61%,0.90,2.51%,1.50,4.70%,31.60%,43.78%,1.95,15141,3.40,-0.50%,7.10%,63.35,2.56% 3.88%,Yes,0.05,15.30%,4.20%,0.75,53.42,Yes,0.05,Nov 20 AMC,45.60%,2.95M,54.88,2.20,7.30%,8.16%,11.53%,"2,222,854",2.73%
FLIR,S&P; 500,26.68,1.63,0.60%,140.49M,1.02%,6.09B,18.30,2.37,-13.65%,137.10M,-6.37%,228.00M,1.22,0.60,97.50%,2.07%,-29.00%,1.82B,3.34,20.00%,0.56%,2.47,-16.34%,14.05,3.09,7.58%,4.80%,58.00,-8.64%,4.22,10.27,21.90%,7.30%,40.52 - 63.88,-0.37%,0.64,17.97,-0.30%,9.40%,-32.09%,0.99,1.48%,3.00,5.10%,50.00%,7.06%,1.27,3542,4.20,-6.40%,17.00%,48.37,2.33% 3.02%,Yes,0.00,14.40%,7.30%,1.56,41.92,Yes,0.22,Jan 29 BMO,64.80%,1.15M,43.38,2.10,0.75%,-6.15%,-18.99%,"1,798,089",3.48%
FLR,S&P; 500,15.51,2.20,0.20%,141.79M,6.13%,4.84B,10.98,3.11,1.85%,139.98M,-17.50%,310.90M,0.34,0.61,90.50%,3.08%,-42.69%,19.39B,0.25,-5.00%,-0.07%,1.93,-29.98%,21.63,1.58,67.76%,2.50%,57.07,-35.74%,13.56,2.52,44.97%,7.60%,29.78 - 62.09,5.96%,0.84,-,-6.90%,6.90%,-45.05%,1.72,2.46%,1.10,-6.70%,3.70%,14.57%,1.51,56706,1.50,-5.70%,2.40%,45.34,3.74% 4.71%,Yes,0.57,-18.50%,1.20%,1.09,32.37,Yes,0.55,Jan 31 AMC,50.20%,2.24M,34.12,2.30,2.67%,-14.15%,-31.88%,"2,432,432",5.41%
FLS,S&P; 500,76.02,0.50,0.41%,136.51M,0.82%,5.22B,17.61,2.17,0.00%,130.32M,-21.74%,66.00M,3.05,0.58,-,4.45%,-30.32%,3.88B,1.35,-11.20%,-3.14%,4.10,-5.49%,12.33,3.10,24.13%,-1.00%,49.71,-9.75%,3.88,9.85,24.91%,-3.00%,35.88 - 56.86,0.58%,0.76,55.18,-20.60%,5.90%,-32.75%,1.58,1.99%,1.60,-5.10%,31.30%,6.58%,1.79,17000,2.20,7.80%,6.20%,39.62,3.71% 4.56%,Yes,0.93,-40.70%,-1.30%,0.82,36.43,Yes,0.89,Feb 06 AMC,-,1.41M,38.24,2.80,-6.12%,-14.65%,-16.93%,"1,164,097",4.97%
FLT,S&P; 500,24.95,7.41,0.70%,123.48M,-0.09%,22.84B,15.56,11.88,0.00%,121.58M,-5.72%,686.80M,1.70,2.73,70.50%,1.40%,-18.20%,2.40B,9.51,37.60%,-3.06%,2.15,-13.65%,40.27,4.59,13.48%,6.90%,243.92,-5.14%,7.49,24.70,14.70%,21.80%,172.18 - 230.24,-0.42%,-,31.08,21.00%,7.30%,-19.68%,1.32,-,0.90,26.00%,98.70%,7.41%,5.36,7890,0.90,7.20%,43.60%,50.05,2.34% 3.08%,Yes,1.26,-10.20%,33.00%,1.20,181.60,Yes,0.78,Jan 29 AMC,0.00%,788.74K,184.94,1.70,1.51%,-2.37%,-10.20%,"943,250",1.84%
FMC,S&P; 500,18.74,4.10,0.30%,136.16M,4.17%,10.47B,12.67,6.07,0.48%,133.50M,-10.27%,557.80M,0.70,1.39,94.10%,3.02%,-16.42%,4.49B,2.33,80.50%,1.99%,3.28,-13.55%,22.59,3.40,1.29%,10.40%,101.89,-20.73%,1.30,59.29,26.80%,34.10%,69.36 - 98.70,3.92%,1.60,51.33,-11.60%,5.40%,-22.13%,1.50,2.08%,1.10,-3.30%,44.50%,10.81%,2.73,7000,1.50,60.30%,14.20%,51.14,3.09% 3.59%,Yes,0.90,34.70%,22.20%,0.86,73.00,Yes,0.85,Feb 04 AMC,8.90%,1.23M,76.86,2.00,0.99%,-2.54%,-8.52%,"1,054,905",5.29%
FOSL,S&P; 500,-,-3.24,2.20%,55.07M,3.45%,908.66M,14.92,1.11,-8.13%,45.05M,-20.25%,-157.20M,-,1.11,-,30.68%,-21.47%,2.68B,0.34,-740.90%,12.83%,8.38,-40.00%,10.67,1.55,28.01%,-8.70%,20.20,94.12%,4.29,3.85,17.30%,-24.50%,7.16 - 32.17,4.90%,-,5.24,-31.10%,-46.40%,-48.71%,0.31,-,1.10,-0.50%,51.30%,130.45%,1.36,12300,2.00,-11.60%,1.70%,46.06,7.38% 8.32%,Yes,0.75,188.80%,-4.90%,0.62,15.37,Yes,0.51,Feb 06 AMC,-,1.65M,16.50,3.30,0.85%,-12.49%,-22.36%,"1,027,604",7.35%
FOX,S&P; 500,18.16,2.63,38.94%,-,0.06%,-,-,-,-,1.40B,-3.26%,-,2.02,-,58.45%,0.82%,2.73%,30.57B,-,-,-,2.23,-0.81%,11.16,4.28,-,-,51.50,32.98%,-,-,9.00%,-,33.75 - 49.65,0.00%,0.36,-,-,-,-3.77%,-,0.75%,-,-,-,41.57%,0.74,22400,-,2.50%,-,50.44,1.46% 1.54%,Yes,-,50.30%,-,0.86,47.18,Yes,-,Feb 06 AMC,-,5.10M,47.78,1.00,-0.76%,0.49%,9.74%,"4,397,605",1.27%
FOXA,S&P; 500,24.65,1.95,0.10%,1.87B,0.10%,89.98B,21.34,2.25,0.00%,1.53B,-3.22%,3.63B,2.82,0.33,90.60%,1.60%,2.60%,30.58B,2.94,6.00%,-3.26%,2.22,-1.40%,11.16,4.31,13.11%,9.10%,50.33,31.53%,3.78,12.70,8.73%,25.20%,34.12 - 50.15,-0.12%,0.36,37.40,-9.60%,8.90%,-4.16%,1.05,0.75%,2.00,1.90%,35.20%,40.86%,0.74,22400,2.50,2.50%,15.00%,50.11,1.47% 1.55%,Yes,0.93,53.20%,16.00%,0.95,47.48,Yes,0.89,Feb 06 BMO,13.60%,11.02M,48.06,2.40,-0.76%,0.38%,9.36%,"10,456,250",1.22%
FRT,S&P; 500,40.85,2.89,0.50%,76.67M,-1.94%,9.04B,35.72,3.30,-3.09%,73.28M,-11.86%,210.80M,6.10,0.77,94.10%,4.21%,-3.81%,904.00M,10.00,-5.60%,0.37%,6.46,-6.64%,29.32,4.02,2.10%,3.60%,139.21,-11.52%,0.55,215.74,6.70%,10.80%,106.41 - 135.68,-0.12%,4.08,48.34,6.20%,5.90%,-13.10%,0.37,3.46%,-,7.20%,68.30%,10.80%,3.11,311,-,5.40%,37.30%,38.42,2.57% 2.73%,Yes,1.51,1.40%,25.30%,0.88,116.59,Yes,1.51,Oct 31 AMC,128.00%,478.27K,117.90,2.20,-5.75%,-6.59%,-4.21%,"419,915",1.12%
FSLR,S&P; 500,73.76,0.63,0.40%,108.31M,9.50%,5.02B,18.29,2.53,-2.61%,75.27M,-0.17%,67.80M,26.69,0.63,54.90%,15.28%,-4.10%,1.89B,2.65,157.50%,-3.58%,6.38,-13.10%,49.34,0.94,69.14%,-4.90%,64.10,-33.64%,25.20,1.84,2.76%,-6.60%,36.51 - 81.72,9.10%,-,-,32.60%,3.90%,-43.32%,1.19,-,4.10,-2.70%,18.80%,26.87%,2.10,4100,4.50,-37.80%,-0.30%,61.95,3.93% 5.03%,Yes,0.09,-72.10%,-18.00%,1.14,43.44,Yes,0.09,Jan 24 AMC,-,1.80M,46.32,2.30,8.50%,8.00%,-14.88%,"2,051,793",6.63%
FTI,S&P; 500,26.73,0.78,26.55%,466.66M,6.58%,9.74B,15.73,1.33,0.02%,448.84M,-14.98%,361.10M,2.47,0.37,83.50%,3.12%,-33.06%,12.91B,0.75,-80.30%,1.42%,3.20,-31.34%,28.17,0.74,5.32%,0.70%,31.25,-34.93%,11.90,1.75,10.82%,1.40%,18.20 - 35.00,6.64%,0.52,-,-,3.50%,-40.34%,-,2.49%,1.20,-,19.20%,14.73%,0.93,37000,1.30,-24.10%,7.20%,48.24,3.86% 4.39%,Yes,0.32,15.80%,1.40%,1.16,19.83,Yes,0.31,Dec 12 AMC,128.30%,4.38M,20.88,2.20,3.54%,-10.01%,-28.25%,"5,081,240",5.30%
FTV,S&P; 500,22.53,2.99,0.10%,343.72M,0.85%,23.19B,18.90,3.57,-36.67%,293.07M,-11.19%,1.06B,1.59,0.86,-,3.86%,-19.44%,7.24B,3.20,10.00%,24.49%,4.16,-12.55%,16.66,4.05,18.73%,9.50%,82.79,-6.85%,3.33,20.25,14.21%,23.20%,62.89 - 88.34,-0.30%,0.28,20.20,4.50%,13.50%,-23.64%,-,0.42%,0.80,2.80%,50.30%,7.27%,2.17,26000,1.00,9.20%,19.30%,45.66,2.38% 3.07%,Yes,0.86,-14.70%,15.50%,0.61,64.63,Yes,0.55,Jan 24 AMC,8.70%,2.72M,67.46,2.20,-0.88%,-6.37%,-12.46%,"1,645,941",4.38%
GD,S&P; 500,14.74,10.70,0.10%,300.71M,1.71%,47.44B,13.08,12.07,-28.39%,278.93M,-13.11%,3.20B,1.14,2.98,86.70%,1.26%,-23.31%,34.09B,1.39,15.30%,0.56%,1.91,-16.39%,43.19,3.65,8.25%,7.40%,211.78,-21.80%,3.36,46.97,12.90%,25.60%,143.87 - 230.00,0.36%,3.72,33.91,62.20%,20.30%,-31.40%,1.12,2.36%,0.90,0.00%,18.90%,9.66%,4.93,98600,1.30,20.00%,12.50%,42.08,2.15% 3.24%,Yes,1.03,14.90%,9.00%,1.00,153.37,Yes,0.89,Jan 23 BMO,34.10%,1.83M,157.77,2.10,-2.50%,-8.43%,-18.68%,"1,834,362",2.87%
GE,S&P; 500,-,-3.26,0.14%,8.99B,13.20%,73.96B,9.68,0.85,4.17%,8.69B,5.38%,-28340.00M,-,0.22,56.40%,1.55%,-34.05%,120.73B,0.61,-130.00%,1.44%,0.98,-38.72%,3.62,2.27,20.23%,-9.60%,12.21,-54.66%,3.00,2.75,3.21%,-66.90%,6.66 - 19.39,8.72%,0.04,134.97,-17.30%,-0.90%,-57.54%,0.70,0.49%,-,-3.50%,21.80%,23.57%,0.43,313000,-,-3.60%,-24.90%,58.77,5.87% 5.50%,Yes,3.66,-,-27.50%,0.86,8.06,Yes,3.17,Jan 29 BMO,-,137.29M,8.23,2.60,12.90%,-2.03%,-31.93%,"118,719,042",2.11%
GILD,S&P; 500,12.65,5.40,0.40%,1.34B,8.44%,91.32B,10.11,6.75,-4.46%,1.29B,-3.68%,7.07B,-,1.70,81.40%,0.99%,-13.61%,22.28B,4.10,-22.80%,-0.01%,1.64,-6.26%,17.64,3.87,-2.47%,2.40%,87.06,-8.59%,21.27,3.21,-5.23%,7.40%,60.32 - 89.54,9.11%,2.28,18.28,36.20%,19.90%,-23.78%,1.02,3.34%,3.40,21.90%,79.60%,13.15%,2.47,10000,3.50,-14.10%,42.00%,58.30,3.11% 3.70%,Yes,1.19,-22.10%,7.10%,1.14,65.25,Yes,1.07,Jan 24 AMC,180.20%,7.77M,68.25,2.20,4.59%,0.44%,-5.28%,"8,880,039",4.60%
GIS,S&P; 500,15.71,2.53,0.20%,615.58M,2.02%,24.51B,12.29,3.24,-5.73%,593.90M,-4.05%,1.51B,2.60,0.69,72.20%,3.03%,-7.40%,16.28B,1.51,-1.00%,-2.53%,3.09,-11.20%,11.10,3.59,5.57%,7.10%,44.78,-32.20%,0.87,46.02,6.05%,33.90%,36.42 - 60.69,2.26%,1.96,27.53,-0.30%,8.80%,-34.39%,0.61,4.92%,0.40,-2.40%,34.00%,9.34%,1.18,40000,0.60,5.10%,14.10%,53.02,2.46% 3.10%,Yes,2.29,-23.40%,12.50%,1.09,39.03,Yes,1.84,Dec 19 BMO,56.40%,5.82M,39.82,2.70,3.44%,-4.52%,-9.05%,"6,326,075",2.02%
GLW,S&P; 500,-,-0.83,0.10%,823.58M,-1.65%,24.06B,14.01,2.09,-36.90%,798.19M,-12.52%,-646.60M,-,0.57,73.40%,2.03%,-18.27%,10.89B,2.21,-117.50%,-0.74%,2.55,4.47%,14.40,2.03,17.80%,-2.80%,36.28,-12.60%,-,-,12.40%,-6.00%,26.11 - 36.56,-3.31%,0.72,15.31,-20.30%,-2.40%,-20.10%,1.18,2.46%,1.50,4.80%,39.40%,11.87%,1.08,46200,2.10,15.40%,13.60%,42.25,2.99% 3.51%,Yes,0.46,73.90%,-6.70%,1.06,28.03,Yes,0.44,Jan 22 BMO,-,6.35M,29.21,2.20,-4.11%,-6.85%,-4.38%,"6,735,432",4.21%
GM,S&P; 500,5.66,5.89,7.22%,1.44B,-1.86%,47.93B,5.66,5.89,0.00%,1.31B,-13.32%,8.39B,0.39,1.22,77.70%,2.08%,-1.97%,146.37B,0.33,-13.20%,0.52%,2.01,-15.56%,26.96,1.24,-6.11%,0.30%,45.23,-22.16%,16.93,1.97,14.40%,2.10%,30.56 - 45.52,-0.36%,1.52,9.16,12.30%,4.50%,-26.78%,1.19,4.56%,0.80,-0.90%,10.80%,9.06%,1.38,180000,0.90,6.40%,4.20%,42.99,3.90% 3.80%,Yes,2.69,-,0.50%,0.79,32.25,Yes,1.88,Jan 30 BMO,287.10%,13.52M,33.33,2.30,-2.94%,-4.66%,-9.55%,"10,694,642",3.35%
GOOG,S&P; 500,40.18,26.65,5.74%,680.92M,2.57%,729.06B,-,-,-0.45%,603.57M,-3.23%,-,2.64,-,69.61%,0.43%,-10.99%,129.87B,5.61,29.60%,-,1.28,-4.76%,244.04,4.39,-,-,1328.00,-1.09%,-,-,15.22%,-,970.11 - 1273.89,3.39%,-,-,-,-,-15.95%,-,-,-,-,-,10.37%,37.40,94372,-,21.50%,-,56.02,3.42% 3.67%,Yes,-,36.50%,-,1.03,1016.06,Yes,-,Jan 24 AMC,-,2.01M,1070.71,1.50,3.62%,1.96%,-3.75%,"2,066,914",5.38%
GOOGL,S&P; 500,26.47,40.73,0.15%,695.96M,2.39%,750.29B,22.86,47.17,0.00%,627.90M,-3.43%,28.59B,1.74,10.85,80.30%,0.34%,-11.02%,129.87B,5.78,7.40%,-0.19%,0.96,-5.54%,244.15,4.42,12.92%,9.00%,1349.28,-1.23%,152.91,7.05,15.22%,11.60%,977.66 - 1291.44,3.17%,-,32.78,11.50%,13.70%,-16.52%,1.02,-,4.10,19.20%,57.00%,10.27%,37.89,94372,4.10,21.50%,19.70%,55.40,3.39% 3.66%,Yes,0.00,36.50%,14.50%,1.03,1025.47,Yes,0.02,Jan 24 AMC,0.00%,2.22M,1078.07,1.70,3.28%,1.65%,-3.93%,"2,290,518",5.13%
GPC,S&P; 500,17.65,5.32,0.50%,148.93M,-1.48%,13.97B,15.71,5.97,0.00%,142.60M,-9.99%,782.90M,1.40,1.32,84.30%,2.35%,-4.26%,18.34B,0.76,-1.50%,4.74%,3.03,2.64%,24.60,3.81,5.65%,5.80%,102.86,-3.61%,2.41,38.90,12.60%,20.80%,85.80 - 107.75,-2.32%,2.88,21.91,1.80%,10.10%,-12.96%,1.05,3.07%,0.70,4.60%,31.20%,9.31%,2.17,48000,1.30,15.30%,5.90%,39.55,1.68% 2.44%,Yes,0.81,38.80%,4.00%,0.81,93.28,Yes,0.68,Jan 17 BMO,55.90%,1.10M,93.79,3.00,-3.18%,-5.33%,-2.04%,"898,244",0.55%
GPN,S&P; 500,35.60,2.89,0.70%,159.71M,0.02%,16.41B,16.97,6.06,-8.88%,151.94M,-8.93%,460.10M,1.66,1.33,-,2.55%,-18.12%,3.54B,4.64,145.80%,0.57%,2.88,-8.33%,25.13,4.09,16.87%,4.80%,134.70,1.02%,6.20,16.57,21.47%,15.90%,94.81 - 129.25,-0.37%,0.04,27.10,7.60%,5.50%,-20.50%,1.19,0.04%,1.00,10.80%,63.50%,8.37%,3.35,10000,1.00,-17.40%,20.30%,48.05,2.52% 3.25%,Yes,1.38,56.00%,17.50%,1.21,98.72,Yes,1.18,Jan 29 BMO,1.00%,1.35M,102.75,2.00,0.89%,-3.98%,-10.08%,"1,629,939",4.08%
GPS,S&P; 500,10.27,2.47,5.10%,380.20M,-2.83%,9.66B,9.59,2.65,0.00%,238.40M,-9.87%,966.00M,0.95,0.70,59.60%,9.09%,-7.27%,16.74B,0.58,31.80%,-2.84%,4.14,-19.62%,8.96,2.83,3.40%,11.70%,29.60,-23.42%,3.30,7.70,10.82%,28.40%,24.25 - 35.68,-1.40%,0.97,48.53,-0.90%,21.30%,-28.81%,0.71,3.82%,0.90,0.30%,38.50%,4.74%,0.87,135000,2.00,6.50%,8.30%,42.16,2.80% 3.58%,Yes,0.00,18.00%,5.60%,1.59,25.79,Yes,0.36,Nov 20 AMC,49.20%,5.23M,25.40,3.00,-2.63%,-4.41%,-13.04%,"8,307,643",-1.51%
GRMN,S&P; 500,18.79,3.39,1.20%,200.63M,1.21%,12.78B,18.09,3.52,-76.10%,147.11M,-7.07%,642.70M,2.69,0.80,46.40%,5.06%,-8.18%,3.30B,3.87,36.50%,7.89%,6.78,5.18%,20.94,3.04,1.82%,12.90%,69.00,5.72%,6.13,10.39,6.98%,16.50%,57.01 - 70.77,0.63%,2.12,25.46,5.90%,17.70%,-9.96%,0.93,3.33%,2.20,2.60%,58.40%,11.77%,1.57,12300,2.80,7.80%,22.30%,49.71,2.33% 2.53%,Yes,0.00,21.00%,19.50%,0.82,61.39,Yes,0.00,Jan 30 BMO,61.00%,1.10M,63.72,3.10,0.19%,-1.01%,0.79%,"903,314",3.80%
GS,DJIA S&P500;,7.00,25.01,0.10%,380.78M,5.83%,66.66B,6.94,25.21,0.00%,365.99M,-8.65%,9.80B,0.29,6.03,77.50%,1.08%,-23.15%,50.90B,1.31,21.30%,-1.57%,0.93,-20.70%,196.05,0.89,-0.13%,0.60%,253.30,-30.89%,312.18,0.56,24.23%,7.30%,151.70 - 275.31,4.79%,3.20,-,6.90%,1.50%,-36.42%,1.13,1.83%,-,0.60%,66.10%,15.39%,5.98,39800,-,17.60%,25.30%,45.64,2.97% 3.51%,Yes,7.08,25.20%,10.60%,0.89,169.51,Yes,3.20,Jan 16 BMO,22.20%,4.26M,175.05,2.40,2.29%,-9.87%,-22.19%,"3,779,301",3.27%
GT,S&P; 500,6.40,3.31,0.34%,239.89M,4.70%,5.08B,7.16,2.96,0.00%,232.24M,-10.93%,796.00M,0.99,0.72,94.80%,5.89%,-10.56%,15.67B,0.32,-46.30%,0.07%,3.89,-10.90%,20.34,1.04,15.22%,2.80%,25.63,-33.52%,3.74,5.67,6.49%,10.40%,18.78 - 36.07,3.77%,0.64,14.94,28.00%,9.30%,-41.28%,1.56,3.02%,0.80,-6.00%,23.10%,12.75%,0.81,64000,1.30,0.20%,8.80%,51.90,3.91% 4.03%,Yes,1.36,202.00%,3.10%,0.84,20.31,Yes,1.17,Jan 25 BMO,27.20%,3.52M,21.18,2.30,1.26%,-1.82%,-10.77%,"2,937,946",4.28%
GWW,S&P; 500,22.16,12.60,1.70%,57.54M,-0.99%,16.06B,15.42,18.10,-3.83%,46.62M,-12.00%,714.90M,1.63,3.59,79.30%,6.50%,-22.02%,11.09B,1.45,1.00%,-1.82%,4.03,-6.30%,34.39,8.12,10.86%,13.60%,318.73,19.17%,8.98,31.07,13.60%,43.80%,223.25 - 372.06,-1.14%,5.44,43.72,0.90%,18.20%,-24.98%,1.09,1.95%,1.40,3.10%,38.80%,25.03%,9.16,24400,2.40,7.40%,11.00%,46.45,2.66% 3.35%,Yes,1.15,-34.70%,7.20%,0.70,268.04,Yes,1.11,Jan 23 BMO,37.20%,751.51K,279.13,3.00,-1.16%,-3.51%,-10.42%,"528,555",4.14%
